NOTA;ID interno;HACIA;DESDE;CANTIDAD;ID EXT OT
FW25_VIGENTE;100100;TIENDA_NORTE;DEP_CENTRAL;10;OT-DC-NOR-20260114_000000-0001
NOOS;100100;TIENDA_NORTE;DEP_CENTRAL;13;OT-DC-NOR-20260114_000000-0002
FW25_VIGENTE;100100;TIENDA_SUR;DEP_CENTRAL;6;OT-DC-SUR-20260114_000000-0003
SS26;100100;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260114_000000-0004
FW25_VIGENTE;100100;TIENDA_CENTRO;DEP_CENTRAL;3;OT-DC-CEN-20260114_000000-0005
NOOS;100100;TIENDA_CENTRO;DEP_CENTRAL;12;OT-DC-CEN-20260114_000000-0006
SS26;100100;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260114_000000-0007
NOOS;100100;TIENDA_OCCIDENTE;DEP_CENTRAL;2;OT-DC-OCC-20260114_000000-0008
FW25_VIGENTE;100200;TIENDA_NORTE;DEP_CENTRAL;13;OT-DC-NOR-20260114_000000-0009
NOOS;100200;TIENDA_NORTE;DEP_CENTRAL;8;OT-DC-NOR-20260114_000000-0010
SS26;100200;TIENDA_NORTE;DEP_CENTRAL;11;OT-DC-NOR-20260114_000000-0011
FW25_VIGENTE;100200;TIENDA_SUR;DEP_CENTRAL;17;OT-DC-SUR-20260114_000000-0012
NOOS;100200;TIENDA_SUR;DEP_CENTRAL;10;OT-DC-SUR-20260114_000000-0013
SS26;100200;TIENDA_SUR;DEP_CENTRAL;1;OT-DC-SUR-20260114_000000-0014
FW25_VIGENTE;100200;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260114_000000-0015
NOOS;100200;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260114_000000-0016
SS26;100200;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260114_000000-0017
FW25_VIGENTE;100200;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260114_000000-0018
FW25_VIGENTE;100200;TIENDA_OCCIDENTE;TIENDA_CENTRO;1;OT-CEN-OCC-20260114_000000-0019
NOOS;100200;TIENDA_OCCIDENTE;TIENDA_CENTRO;3;OT-CEN-OCC-20260114_000000-0020
NOOS;100200;TIENDA_OCCIDENTE;TIENDA_NORTE;1;OT-NOR-OCC-20260114_000000-0021
SS26;100200;TIENDA_OCCIDENTE;TIENDA_NORTE;3;OT-NOR-OCC-20260114_000000-0022
FW25_VIGENTE;100300;TIENDA_NORTE;DEP_CENTRAL;7;OT-DC-NOR-20260114_000000-0023
NOOS;100300;TIENDA_NORTE;DEP_CENTRAL;26;OT-DC-NOR-20260114_000000-0024
FW25_VIGENTE;100300;TIENDA_SUR;DEP_CENTRAL;9;OT-DC-SUR-20260114_000000-0025
NOOS;100300;TIENDA_SUR;DEP_CENTRAL;7;OT-DC-SUR-20260114_000000-0026
SS26;100300;TIENDA_SUR;DEP_CENTRAL;10;OT-DC-SUR-20260114_000000-0027
FW25_VIGENTE;100300;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260114_000000-0028
NOOS;100300;TIENDA_CENTRO;DEP_CENTRAL;2;OT-DC-CEN-20260114_000000-0029
SS26;100300;TIENDA_CENTRO;DEP_CENTRAL;10;OT-DC-CEN-20260114_000000-0030
FW25_VIGENTE;100300;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260114_000000-0031
SS26;100300;TIENDA_OCCIDENTE;DEP_CENTRAL;1;OT-DC-OCC-20260114_000000-0032
FW25_VIGENTE;100400;TIENDA_NORTE;DEP_CENTRAL;17;OT-DC-NOR-20260114_000000-0033
NOOS;100400;TIENDA_NORTE;DEP_CENTRAL;11;OT-DC-NOR-20260114_000000-0034
SS26;100400;TIENDA_NORTE;DEP_CENTRAL;10;OT-DC-NOR-20260114_000000-0035
FW25_VIGENTE;100400;TIENDA_SUR;DEP_CENTRAL;3;OT-DC-SUR-20260114_000000-0036
NOOS;100400;TIENDA_SUR;DEP_CENTRAL;8;OT-DC-SUR-20260114_000000-0037
SS26;100400;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260114_000000-0038
SS26;100400;TIENDA_SUR;TIENDA_OCCIDENTE;9;OT-OCC-SUR-20260114_000000-0039
NOOS;100400;TIENDA_CENTRO;TIENDA_OCCIDENTE;2;OT-OCC-CEN-20260114_000000-0040
NOOS;100400;TIENDA_CENTRO;TIENDA_SUR;1;OT-SUR-CEN-20260114_000000-0041
SS26;100400;TIENDA_CENTRO;TIENDA_NORTE;1;OT-NOR-CEN-20260114_000000-0042
NOOS;100400;TIENDA_OCCIDENTE;TIENDA_CENTRO;2;OT-CEN-OCC-20260114_000000-0043
FW25_VIGENTE;100500;TIENDA_NORTE;DEP_CENTRAL;4;OT-DC-NOR-20260114_000000-0044
NOOS;100500;TIENDA_NORTE;DEP_CENTRAL;11;OT-DC-NOR-20260114_000000-0045
SS26;100500;TIENDA_NORTE;DEP_CENTRAL;8;OT-DC-NOR-20260114_000000-0046
FW25_VIGENTE;100500;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260114_000000-0047
NOOS;100500;TIENDA_SUR;DEP_CENTRAL;10;OT-DC-SUR-20260114_000000-0048
SS26;100500;TIENDA_SUR;DEP_CENTRAL;5;OT-DC-SUR-20260114_000000-0049
FW25_VIGENTE;100500;TIENDA_CENTRO;DEP_CENTRAL;4;OT-DC-CEN-20260114_000000-0050
NOOS;100500;TIENDA_CENTRO;DEP_CENTRAL;7;OT-DC-CEN-20260114_000000-0051
NOOS;100500;TIENDA_OCCIDENTE;DEP_CENTRAL;3;OT-DC-OCC-20260114_000000-0052
