Sucursal,ID interno,Stock disponible para la venta
DEP_CENTRAL,100100,131
TIENDA_OCCIDENTE,100100,17
TIENDA_CENTRO,100100,0
TIENDA_NORTE,100100,5
TIENDA_SUR,100100,2
DEP_CENTRAL,100200,81
TIENDA_OCCIDENTE,100200,24
TIENDA_CENTRO,100200,4
TIENDA_NORTE,100200,5
TIENDA_SUR,100200,0
DEP_CENTRAL,100300,136
TIENDA_OCCIDENTE,100300,44
TIENDA_CENTRO,100300,2
TIENDA_NORTE,100300,4
TIENDA_SUR,100300,3
DEP_CENTRAL,100400,54
TIENDA_OCCIDENTE,100400,11
TIENDA_CENTRO,100400,2
TIENDA_NORTE,100400,1
TIENDA_SUR,100400,1
DEP_CENTRAL,100500,114
TIENDA_OCCIDENTE,100500,11
TIENDA_CENTRO,100500,6
TIENDA_NORTE,100500,5
TIENDA_SUR,100500,5
