product_id,product_name,category,price
PROD0001,Blanditiis Juguetes,Juguetes,129.38
PROD0002,Quod Belleza,Belleza,11.23
PROD0003,Accusamus Juguetes,Juguetes,129.91
PROD0004,Veritatis Electrónica,Electrónica,1892.73
PROD0005,Perferendis Alimentos,Alimentos,40820.0
PROD0006,Quam Belleza,Belleza,81.95
PROD0007,Necessitatibus Ropa,Ropa,22.05
PROD0008,Sint Ropa,Ropa,211.91
PROD0009,Ab Ropa,Ropa,227.59
PROD0010,Voluptates Alimentos,Alimentos,19.61
PROD0011,Exercitationem Belleza,Belleza,34.92
PROD0012,Sequi Libros,Libros,28.11
PROD0013,Dolores Alimentos,Alimentos,42.0
PROD0014,Doloribus Ropa,Ropa,231.67
PROD0015,Maiores Jardín,Jardín,261.36
PROD0016,Quam Libros,Libros,63.57
PROD0017,Asperiores Belleza,Belleza,18795.41
PROD0018,Possimus Automotriz,Automotriz,2672.24
PROD0019,Dolores Juguetes,Juguetes,
PROD0020,Culpa Automotriz,Automotriz,1242.84
PROD0021,Veritatis Automotriz,Automotriz,2720.28
PROD0022,Quis Juguetes,Juguetes,41.35
PROD0023,Illum Hogar,Hogar,205.92
PROD0024,Perspiciatis Jardín,Jardín,497.27
PROD0025,Fuga Belleza,Belleza,45.1
PROD0026,A Deportes,Deportes,85.9
PROD0027,Esse Deportes,Deportes,175.95
PROD0028,Temporibus Belleza,Belleza,31.34
PROD0029,Officiis Jardín,Jardín,22.32
PROD0030,Aspernatur Deportes,Deportes,156.42
PROD0031,Ab Juguetes,Juguetes,100.63
PROD0032,Iure Juguetes,Juguetes,134.43
PROD0033,Libero Ropa,Ropa,170.81
PROD0034,Ab Libros,Libros,72.45
PROD0035,Ea Automotriz,Automotriz,2330.68
PROD0036,Libero Deportes,Deportes,499.4
PROD0037,Consequuntur Belleza,Belleza,134.8
PROD0038,Porro Jardín,Jardín,265.0
PROD0039,Blanditiis Alimentos,Alimentos,
PROD0040,Neque Deportes,Deportes,103.78
PROD0041,Placeat Automotriz,Automotriz,1740.86
PROD0042,Dolor Hogar,Hogar,242.25
PROD0043,Et Belleza,Belleza,103.6
PROD0044,Nam Automotriz,Automotriz,1418.47
PROD0045,In Electrónica,Electrónica,1938.46
PROD0046,Nobis Libros,Libros,22.17
PROD0047,Quidem Alimentos,Alimentos,54.08
PROD0048,Corrupti Alimentos,Alimentos,82.64
PROD0049,Unde Juguetes,Juguetes,107.84
PROD0050,Dolorem Hogar,Hogar,302.39
PROD0051,Libero Hogar,Hogar,144.78
PROD0052,Ab Deportes,Deportes,345.73
PROD0053,Voluptatum Belleza,Belleza,13.14
PROD0054,Culpa Electrónica,Electrónica,1049.65
PROD0055,Id Jardín,Jardín,267.99
PROD0056,Deleniti Alimentos,Alimentos,36470.14
PROD0057,Nihil Ropa,Ropa,154.87
PROD0058,Aliquid Deportes,Deportes,414.72
PROD0059,Vel Hogar,Hogar,695.02
PROD0060,Perferendis Belleza,Belleza,28.51
PROD0061,Cumque Electrónica,Electrónica,868.6
PROD0062,Porro Hogar,Hogar,611.82
PROD0063,Vero Automotriz,Automotriz,477.95
PROD0064,Itaque Jardín,Jardín,
PROD0065,Provident Alimentos,Alimentos,19180.22
PROD0066,Delectus Alimentos,Alimentos,84.53
PROD0067,Corrupti Jardín,Jardín,131.61
PROD0068,Debitis Ropa,Ropa,72.93
PROD0069,Laborum Electrónica,Electrónica,37510.98
PROD0070,Vitae Alimentos,Alimentos,29.1
PROD0071,Asperiores Automotriz,Automotriz,2073.76
PROD0072,Nobis Deportes,Deportes,200.85
PROD0073,Nostrum Automotriz,Automotriz,2345.16
PROD0074,Illum Alimentos,Alimentos,76.04
PROD0075,Placeat Belleza,Belleza,81.17
PROD0076,Nobis Juguetes,Juguetes,24.63
PROD0077,Sit Alimentos,Alimentos,
PROD0078,Quaerat Ropa,Ropa,44.68
PROD0079,Expedita Libros,Libros,49377.94
PROD0080,Cum Jardín,Jardín,257.3
PROD0081,Voluptates Electrónica,Electrónica,607.71
PROD0082,Vel Electrónica,Electrónica,1249.62
PROD0083,Eius Electrónica,Electrónica,219.34
PROD0084,Voluptatibus Libros,Libros,51.03
PROD0085,Voluptates Automotriz,Automotriz,1693.82
PROD0086,Eaque Automotriz,Automotriz,901.87
PROD0087,Eum Jardín,Jardín,22.23
PROD0088,Delectus Hogar,Hogar,315.42
PROD0089,Amet Ropa,Ropa,247.68
PROD0090,Earum Jardín,Jardín,252.14
PROD0091,Nobis Deportes,Deportes,243.84
PROD0092,Sint Jardín,Jardín,203.68
PROD0093,Consectetur Deportes,Deportes,478.84
PROD0094,Modi Automotriz,Automotriz,933.14
PROD0095,Qui Alimentos,Alimentos,93.48
PROD0096,Voluptates Belleza,Belleza,35.59
PROD0097,Est Deportes,Deportes,439.55
PROD0098,Nobis Deportes,Deportes,194.11
PROD0099,Assumenda Ropa,Ropa,157.95
PROD0100,Temporibus Electrónica,Electrónica,34827.08
