Date,City,Temperature
2024-08-01,Mumbai,28
2024-08-02,Mumbai,30
2024-08-03,Mumbai,32
2024-08-04,Mumbai,31
2024-08-05,Mumbai,33
2024-08-06,Mumbai,30
2024-08-07,Mumbai,29
2024-08-08,Mumbai,31
2024-08-09,Mumbai,33
2024-08-10,Mumbai,32
2024-08-11,Mumbai,29
2024-08-12,Mumbai,31
2024-08-13,Mumbai,30
2024-08-14,Mumbai,32
2024-08-15,Mumbai,34
2024-08-16,Mumbai,28
2024-08-17,Mumbai,30
2024-08-18,Mumbai,32
2024-08-19,Mumbai,31
2024-08-20,Mumbai,33
2024-08-21,Mumbai,30
2024-08-22,Mumbai,29
2024-08-23,Mumbai,31
2024-08-24,Mumbai,33
2024-08-25,Mumbai,32
2024-08-26,Mumbai,29
2024-08-27,Mumbai,31
2024-08-28,Mumbai,30
2024-08-29,Mumbai,32
2024-08-30,Mumbai,34
2024-08-31,Mumbai,28
2024-08-01,Delhi,32
2024-08-02,Delhi,34
2024-08-03,Delhi,34
2024-08-04,Delhi,36
2024-08-05,Delhi,36
2024-08-06,Delhi,38
2024-08-07,Delhi,32
2024-08-08,Delhi,34
2024-08-09,Delhi,34
2024-08-10,Delhi,36
2024-08-11,Delhi,36
2024-08-12,Delhi,38
2024-08-13,Delhi,32
2024-08-14,Delhi,34
2024-08-15,Delhi,34
2024-08-16,Delhi,36
2024-08-17,Delhi,36
2024-08-18,Delhi,38
2024-08-19,Delhi,32
2024-08-20,Delhi,34
2024-08-21,Delhi,34
2024-08-22,Delhi,36
2024-08-23,Delhi,36
2024-08-24,Delhi,38
2024-08-25,Delhi,32
2024-08-26,Delhi,34
2024-08-27,Delhi,34
2024-08-28,Delhi,36
2024-08-29,Delhi,36
2024-08-30,Delhi,38
2024-08-31,Delhi,32
