vehiculo,timestamp,latitud,longitud,temperatura,evento
V0426,2025-09-06 14:05:25,4.270797,-74.36919,8.99,OK
V0426,2025-09-06 14:44:59,3.561731,-75.516141,6.71,OK
V0426,2025-09-06 15:11:50,4.764846,-66.646875,13.24,TEMP_CRITICA
V0475,2025-09-06 15:16:27,-2.558792,-72.361641,8.85,OK
V0475,2025-09-06 15:26:42,9.740048,-74.074296,17.8,TEMP_CRITICA
V0386,2025-09-06 15:41:56,-5.083694,-78.742747,7.71,OK
V0386,2025-09-06 15:51:05,9.995329,-71.027968,-2.45,OK
V0475,2025-09-06 16:10:51,-2.644155,-77.874146,6.89,OK
V0386,2025-09-06 16:31:46,-3.822527,-66.891228,10.51,TEMP_CRITICA
V0308,2025-09-06 17:11:49,0.207337,-70.178042,0.49,OK
V0386,2025-09-06 17:24:12,0.220703,-68.411938,5.16,OK
V0475,2025-09-06 17:24:59,-3.002675,-72.011423,7.9,OK
V0475,2025-09-06 17:46:40,-1.794769,-74.041329,12.62,TEMP_CRITICA
V0308,2025-09-06 18:34:02,-2.032288,-78.80926,11.64,TEMP_CRITICA
V0308,2025-09-06 18:37:22,5.168311,-78.491982,6.3,OK
V0475,2025-09-06 18:48:53,-5.527192,-77.876516,0.85,OK
V0308,2025-09-06 19:56:31,-2.8759,-70.129637,16.09,TEMP_CRITICA
V0463,2025-09-06 20:09:10,-1.731454,-76.053665,8.43,OK
V0463,2025-09-06 20:43:02,-1.265841,-67.204224,4.25,OK
V0463,2025-09-06 21:05:19,4.3434,-72.255666,9.94,OK
V0463,2025-09-06 21:09:55,-0.735705,-78.231061,2.11,OK
V0463,2025-09-06 22:45:40,10.61126,-66.395077,-1.29,OK
V0463,2025-09-06 23:30:46,-0.726458,-71.110384,3.1,OK
V0488,2025-09-06 23:33:42,-1.585849,-68.671108,3.18,OK
V0488,2025-09-06 23:34:17,-3.818562,-72.681541,4.66,OK
V0488,2025-09-06 23:44:52,3.700243,-66.071536,7.2,OK
